,name_t1,count_t1,name_t2,count_t2,name_covid_t1,count_covid_t1,name_covid_t2,count_covid_t2,name_tele_t1,count_tele_t1,name_tele_t2,count_tele_t2,name_merge_t1,count_merge_t1,name_merge_t2,count_merge_t2
125,Elder Care Planning,76,Pediatric Dentists,43,Department Stores,1.0,Reflexology,7,,,,,,,,
126,Cosmetics & Beauty Supply,71,Boot Camps,39,Neurotologists,1.0,Maternity Wear,7,,,,,,,,
127,Colonics,58,Memory Care,36,Speech Training,1.0,Hydrotherapy,7,,,,,,,,
128,Bakeries,57,Mobility Equipment Sales & Services,35,Pathologists,1.0,Career Counseling,7,,,,,,,,
129,Orthodontists,56,Oral Surgeons,35,,,Gerontologists,6,,,,,,,,
130,Spray Tanning,56,Department Stores,34,,,Immunodermatologists,6,,,,,,,,
131,Boot Camps,52,Immunodermatologists,34,,,Juice Bars & Smoothies,6,,,,,,,,
132,"Beer, Wine & Spirits",48,Colonics,32,,,Spray Tanning,6,,,,,,,,
133,Nephrologists,46,Meditation Centers,30,,,Dentists,6,,,,,,,,
134,Pediatric Dentists,44,Pathologists,29,,,Pediatric Dentists,5,,,,,,,,
135,Hydrotherapy,44,Permanent Makeup,28,,,CPR Classes,5,,,,,,,,
136,Memory Care,43,Gerontologists,27,,,Otologists,5,,,,,,,,
137,Veterinarians,42,Delis,25,,,Colonics,5,,,,,,,,
138,Gas Stations,41,Endodontists,24,,,Pathologists,5,,,,,,,,
139,Career Counseling,41,Dentists,23,,,Endodontists,5,,,,,,,,
140,Meditation Centers,40,Herbal Shops,22,,,Discount Store,5,,,,,,,,
141,Ayurveda,35,CPR Classes,22,,,Herbal Shops,4,,,,,,,,
142,Float Spa,34,Nail Salons,22,,,Sex Therapists,4,,,,,,,,
143,Halotherapy,34,Undersea/Hyperbaric Medicine,21,,,Hepatologists,4,,,,,,,,
144,Coffee & Tea,33,Pet Services,20,,,Matchmakers,4,,,,,,,,
145,CPR Classes,33,Maternity Wear,19,,,Orthodontists,4,,,,,,,,
146,Wholesale Stores,32,Neurotologists,19,,,Nursing Schools,4,,,,,,,,
147,Hepatologists,31,Orthodontists,19,,,Mobility Equipment Sales & Services,4,,,,,,,,
148,Mobility Equipment Sales & Services,29,Juice Bars & Smoothies,19,,,Dance Studios,4,,,,,,,,
149,Neurotologists,29,Hepatologists,18,,,Pet Services,4,,,,,,,,
